Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
6183.Smp_128930.1,0.12433028679483138,0.020493362537796836,0.00019920625298815034,0.5168283457190376,0.39316940418057944
6183.Smp_041430.1,0.1753860699653325,0.029047748418475034,0.0008644706290232276,0.5378679187785862,0.31286722643448583
6183.Smp_179270.3,0.05972265994327135,0.006763007909654234,0.00017876494961247883,0.4890500177605113,0.37969594170121873
6183.Smp_072140.1,0.25417585880869836,0.03491481505535287,0.0014767535938976647,0.5634328918193239,0.23654965317465568
6183.Smp_043260.1,0.05515285219035613,0.009483205239594183,2.6606658797920207e-05,0.4889746052674102,0.4221694637740483
6183.Smp_136050.1,0.18799243618027103,0.02868763338646802,0.0006943688438557343,0.5403425603065783,0.25814876488689614
6183.Smp_144610.1,0.04727387330601954,0.0071538553909550094,0.00015289168704351027,0.4904114313577413,0.3364102564102564
6183.Smp_170730.1,0.23179955877718245,0.03499934407233886,0.002254208412203739,0.5560719535570636,0.26134102859362646
6183.Smp_153010.1,0.10116608887488181,0.018634785719629003,0.00012723132291475562,0.5074818460685212,0.428409659750876
6183.Smp_002820.3,0.06712890009454774,0.010556027554810127,8.106065377073049e-05,0.48253828123855363,0.4059983429991715
6183.Smp_074510.1,0.11960289946422943,0.017827511666360155,0.0004524718478154015,0.5169968721218156,0.3111648781030449
6183.Smp_060480.1,0.011660888748818153,0.0018161101030062946,0.00032187428848247005,0.45830326855891823,0.2991484635320252
6183.Smp_145090.1,0.001418216199180586,6.196504245548666e-05,5.428427483625766e-07,0.35223552514958684,0.08333333333333333
6183.Smp_171200.1,0.0025212732429877086,0.0003949271754833235,3.378267376627379e-07,0.4096105813032559,0.35
6183.Smp_198970.1,0.008982035928143712,0.001125717143785337,6.89246871495409e-06,0.4398058689541131,0.23057644110275688
6183.Smp_198670.1,0.12716671919319256,0.024720388212193117,0.00012274592606233907,0.5145639456647716,0.49434077135240345
6183.Smp_168500.1,0.01323668452568547,0.0007692866014124646,1.7968236799946708e-05,0.4338784039350284,0.3006310958118187
6183.Smp_056700.1,0.025843050740624013,0.0032466979046251645,3.0020299906229896e-05,0.46866691031025054,0.31303306898099653
6183.Smp_000810.2,0.008666876772770248,0.0008092575455938038,1.3839126481841584e-05,0.43325595233763564,0.15218855218855218
6183.Smp_030370.1,0.044910179640718556,0.006085929517476893,8.590664931431918e-05,0.48705941404794645,0.33550778354336547
6183.Smp_027900.1,0.08335959659628112,0.012995272892975689,0.00034265232893788516,0.4993701283715205,0.3659849916938764
6183.Smp_171740.1,0.09265679167979829,0.013131112224967231,0.000649087495644674,0.5097251752385717,0.28149010882035946
6183.Smp_170630.1,0.004254648597541758,0.0002843423950237389,3.81873392830089e-06,0.39276649720185236,0.38461538461538464
6183.Smp_164540.1,0.041758588086983926,0.004485048433847226,0.00018872218408703576,0.4877336484133131,0.2150657518582047
6183.Smp_175630.1,0.02631578947368421,0.0032570305167437955,1.3843099719938144e-05,0.4609012085987145,0.37385470023807804
6183.Smp_085180.1,0.017018594390167032,0.0016234291754687786,1.1886979687098765e-05,0.46103523046803657,0.32796815507095883
6183.Smp_146970.1,0.00047273873306019534,1.0946818233460543e-05,6.720038281075452e-10,0.33114038378855004,0.6666666666666666
6183.Smp_129230.1,0.07973526630948628,0.011360905512574229,0.000277676938296178,0.5005920459640311,0.2932962861503542
6183.Smp_174770.1,0.0003151591553734636,2.035654151750711e-06,5.29709158235116e-08,0.31051706963955694,0.0
6183.Smp_049930.1,0.0006303183107469272,6.506934805667671e-05,2.1986064406205932e-08,0.3610795166430375,0.0
6183.Smp_164160.1,0.058777182477150955,0.008700975747192218,3.089938390421365e-05,0.47691386902679433,0.40324022024272826
6183.Smp_094820.1,0.015285219035612984,0.0018673403296632645,2.042678538413543e-05,0.4483246592901393,0.2699742268041237
6183.Smp_143780.1,0.020642924676961865,0.0028295538668304384,2.4520159698387407e-05,0.452644395854565,0.3254257193188491
6183.Smp_160180.1,0.009769933816577371,0.001729131778464056,5.369818834124797e-06,0.4308424341248852,0.639344262295082
6183.Smp_144490.1,0.053419476835802074,0.007130314306374772,2.3324553622192122e-05,0.47293069577317753,0.5753434221780035
6183.Smp_138620.1,0.11456035297825401,0.019232175021246065,0.00023449098585855455,0.5143552822642588,0.3896574851933111
6183.Smp_017450.1,0.07264418531358335,0.008445705498892706,5.238085234254448e-05,0.49010824036462985,0.4961614637366783
6183.Smp_146400.1,0.07957768673179955,0.009160930194822826,0.00027165044696775693,0.4975679138803005,0.25665566556655667
6183.Smp_211110.1,0.07500787897888433,0.01130700642284282,0.00010068067675421286,0.4902976907861083,0.42460858027421494
6183.Smp_154650.1,0.06618342262842736,0.011844839431430755,0.00010965487575561728,0.4942717348856917,0.39665871121718377
6183.Smp_083790.1,0.024897573274503624,0.004263086536709058,0.00013323944822202707,0.4562918649052673,0.5256792711440781
6183.Smp_003330.1,0.000787897888433659,0.0001330352372871685,1.2855521660891502e-09,0.37557743872547145,0.6
6183.Smp_033530.3,0.04711629372833281,0.0038923238752712817,0.00028511402716284684,0.48976759829471855,0.201297389508653
6183.Smp_164660.1,0.01670343523479357,0.00330924711763117,8.982014032092353e-06,0.44699750707064495,0.6181491464510332
6183.Smp_001560.1,0.05688622754491018,0.00876745863492063,9.166515658889155e-05,0.49193303058627913,0.3097876269621422
6183.Smp_036940.1,0.03561298455720138,0.003918031742907356,5.9748662754809296e-05,0.46059994410039296,0.4835004916420846
6183.Smp_125160.1,0.06381972896312638,0.013002355588182642,4.65382800787882e-05,0.4916279558386287,0.5079085686346413
6183.Smp_154190.1,0.00709108099590293,0.0011923189957965194,5.099053226316734e-07,0.4205570709760153,0.41414141414141414
6183.Smp_160850.1,0.09533564450047273,0.015103643575546569,0.0001716831809592367,0.5044543931210874,0.356997427617536
6183.Smp_104270.1,0.014024582414119129,0.0012081517977460623,3.720625999510951e-05,0.43426462820585526,0.24080694586312565
6183.Smp_016670.1,0.008982035928143712,0.0006374435885115149,6.257544558576104e-06,0.4200835020413533,0.10150375939849623
6183.Smp_166070.1,0.09628112196659312,0.01809478668754769,6.904844292044714e-05,0.5033333833585961,0.44019747256580183
6183.Smp_173380.1,0.29325559407500784,0.04286535238779278,0.0031869635676072686,0.5774904962956028,0.24019748892086
6183.Smp_017010.4,0.0817838008194138,0.010240068718526424,0.00011834633753425904,0.495468799243618,0.37435370961382525
6183.Smp_136550.1,0.22581153482508665,0.03619068063386386,0.0007915031608711795,0.5525353398081818,0.28328271743071337
6183.Smp_133180.2,0.20548376930349826,0.033266716545129735,0.00216735354790256,0.5457362215229593,0.27006342136362993
6183.Smp_142640.1,0.02395209580838323,0.0023881154311134758,8.019003021312632e-05,0.45813773245093625,0.31343673753921225
6183.Smp_123130.1,0.01591553734635991,0.0027156012721174937,9.899547379713685e-06,0.4401416219250684,0.5885148514851485
6183.Smp_073890.1,0.0037819098644815627,0.0010250543824453435,5.489418479848658e-09,0.40108782129511195,0.6557971014492754
6183.Smp_155450.1,0.3510872990860384,0.04807812753145468,0.005846365644249543,0.5998298146522567,0.20068782100530538
6183.Smp_113660.1,0.04522533879609202,0.005632305677251061,2.37144772658433e-05,0.4677681538809788,0.6085378036597549
6183.Smp_171270.1,0.006775921840529467,0.0005714266828356383,5.182826406743529e-06,0.411470877202252,0.2724252491694352
6183.Smp_127740.1,0.021430822565395524,0.002951611400768509,1.9272727918391736e-05,0.446871521302023,0.4815904139433551
6183.Smp_122830.1,0.03482508666876773,0.004549266064487128,2.202829793890785e-05,0.47399107849912636,0.45117235705471
6183.Smp_039490.1,0.016230696501733373,0.0023541330748156246,1.3497009038874192e-05,0.45248292168366944,0.4886731391585761
6183.Smp_075130.1,0.10305704380712259,0.016126393725480515,0.0002579074828653984,0.5098891003632666,0.3320220483208527
6183.Smp_181200.1,0.155688622754491,0.027583823323201157,0.0002527978277492107,0.5267442383985308,0.3239584230625664
6183.Smp_199400.1,0.12212417270721714,0.021586408478017034,0.0002351330466689633,0.517207684742971,0.38799699924981246
6183.Smp_158240.1,0.03829183737787582,0.002235108195983745,9.664838610457831e-05,0.473884826295921,0.2700744821956943
6183.Smp_137160.1,0.00882445635045698,0.0003598975842332622,1.1880933440638772e-05,0.4072694984792134,0.18831168831168832
6183.Smp_068420.1,0.1159785691774346,0.015459641197902435,0.00044735113108217806,0.509274924140232,0.32897811298432417
6183.Smp_141660.1,0.006775921840529467,0.0005736991450545386,2.0559630033403654e-06,0.4034864887592767,0.49280177187153934
6183.Smp_147230.1,0.03703120075638197,0.004842211337555533,7.371184249111462e-05,0.4667697527282189,0.46699399890889254
6183.Smp_088600.1,0.054207374724235736,0.0068798230116840975,6.594528662339934e-05,0.48213475979309034,0.4187233032747983
6183.Smp_001500.1,0.09533564450047273,0.014722023989501848,0.0001759326734147898,0.5059030496424944,0.3560834108696842
