Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
7227.FBpp0301587,0.0025629695095006626,0.00014106196415799912,1.317036732636679e-06,0.34223670378587695,0.7142857142857143
7227.FBpp0081795,0.009721608484312859,0.0023416365155471595,6.414070435024302e-06,0.37325183390473804,0.569140950792327
7227.FBpp0076871,0.021917808219178082,0.007426999539629747,5.4739955898914276e-05,0.4247445908801627,0.251077445474729
7227.FBpp0082600,0.06115775519222271,0.01512051307657329,0.00047459029807697835,0.4555836767444415,0.16143563403963426
7227.FBpp0088403,0.005921343349536014,0.0019830704164474897,0.00010462630838209094,0.3810611922936151,0.5083672546359114
7227.FBpp0081503,0.0002651347768448961,0.00012330997677147774,3.649630321473961e-09,0.3335574141075849,0.0
7227.FBpp0078935,0.0020326999558108703,0.000405983309967507,4.086119235550994e-06,0.3563461956393285,0.1857707509881423
7227.FBpp0087351,0.008661069376933275,0.0012033648253680818,2.8149311638959804e-05,0.39035536771541063,0.27645697454239426
7227.FBpp0084349,0.014317277949624393,0.0025897690336922114,4.971290873902129e-05,0.4050546473936247,0.20512230657158192
7227.FBpp0305409,0.010075121520106053,0.003704777632270163,4.0323392642053284e-05,0.42011621881702366,0.26439993789784194
7227.FBpp0112614,0.015289438798055678,0.004478314116569652,6.471013906948437e-05,0.4108695386914457,0.38257830353542144
7227.FBpp0080908,0.01643835616438356,0.0025460030029138283,4.930067714122254e-05,0.39826778926193174,0.14240046498111014
7227.FBpp0072032,0.006009721608484312,0.0016346211840695829,8.190346998542955e-06,0.39292556381146,0.28138718173836696
7227.FBpp0084923,0.0002651347768448961,5.217935815541823e-05,2.3933407779663584e-07,0.3211083208880797,0.0
7227.FBpp0077502,0.011135660627485638,0.003945935499169261,1.7963474304569413e-05,0.4094301008506174,0.3696507936507937
7227.FBpp0087638,0.029164825452938577,0.009624665005026586,0.00027309511042901625,0.4387128464985969,0.1980473427281938
7227.FBpp0083132,0.005567830313742819,0.002066069591684979,2.0106535770092957e-05,0.396858989158423,0.3415258576548899
7227.FBpp0070576,0.02615996464869642,0.012354937846292578,7.301051618156848e-05,0.43513957349837556,0.32359138799816767
7227.FBpp0077208,0.015024304021210782,0.005712219558380799,3.261167246925672e-05,0.4189083572365252,0.4198398886181692
