Orthogroup	Saccharomyces_cerevisiae.R64-1-1.pep.all	Schistossoma
OG0000133	YOR291W	6183.Smp_172750.1, 6183.Smp_128470.1, 6183.Smp_175360.1, 6183.Smp_208060.1, 6183.Smp_128460.1, 6183.Smp_154360.1
OG0000134	YDL132W	6183.Smp_079740.1, 6183.Smp_082850.2, 6183.Smp_031000.2, 6183.Smp_143030.1, 6183.Smp_150270.1, 6183.Smp_052460.1
OG0000156	YOL002C, YOL101C, YDR492W	6183.Smp_045410.1, 6183.Smp_045420.1, 6183.Smp_057130.1
OG0000157	YNL004W, YCL011C	6183.Smp_005260.1, 6183.Smp_064360.1, 6183.Smp_002550.1, 6183.Smp_041480.2
OG0000159	YGL073W, YHR206W, YIL147C, YLR006C, YJR147W	6183.Smp_068270.4
OG0000160	YIL045W, YER054C	6183.Smp_167660.1
OG0000160	YLR273C, YOR178C	6183.Smp_153700.1
OG0000162	YDR422C	6183.Smp_101670.1
OG0000162	YER027C, YGL208W	6183.Smp_170160.1, 6183.Smp_124310.1
OG0000163	YNL126W	6183.Smp_125530.1, 6183.Smp_168290.1, 6183.Smp_031070.3, 6183.Smp_159180.1, 6183.Smp_135700.1
OG0000164	YLR189C, YFL042C, YLR072W, YHR080C, YDR326C	6183.Smp_212360.1
OG0000167	YML056C, YAR075W, YLR432W, YAR073W, YHR216W	6183.Smp_012930.1
OG0000168	YMR161W	6183.Smp_136540.1, 6183.Smp_022330.1
OG0000168	YNL007C	6183.Smp_104730.1, 6183.Smp_020920.1
OG0000169	YEL016C, YCR026C	6183.Smp_084890.1, 6183.Smp_153340.1, 6183.Smp_153390.2, 6183.Smp_104270.1
OG0000172	YLR188W, YKL209C	6183.Smp_137080.1, 6183.Smp_055780.1, 6183.Smp_170820.1, 6183.Smp_089200.1
OG0000174	YNR008W	6183.Smp_166530.2, 6183.Smp_166500.1, 6183.Smp_160880.1, 6183.Smp_031190.1, 6183.Smp_031180.1
OG0000175	YDR321W, YLR160C, YLR155C, YLR158C, YLR157C	6183.Smp_153810.1
OG0000177	YCL043C, YDR518W	6183.Smp_056760.1
OG0000177	YOR288C	6183.Smp_157700.1, 6183.Smp_172110.1
OG0000178	YHL007C	6183.Smp_096670.1, 6183.Smp_103360.1, 6183.Smp_175160.1, 6183.Smp_159730.1, 6183.Smp_179800.1
OG0000179	YNL053W, YIL113W	6183.Smp_084930.1, 6183.Smp_012400.1, 6183.Smp_135160.1, 6183.Smp_034500.1
OG0000180	YPR105C	6183.Smp_184350.1, 6183.Smp_180640.1, 6183.Smp_192100.1, 6183.Smp_209090.1, 6183.Smp_199740.1
OG0000209	YBR009C, YNL030W	6183.Smp_194870.1, 6183.Smp_053300.1, 6183.Smp_053390.1
OG0000210	YHR210C	6183.Smp_104720.1
OG0000210	YNR071C, YBR019C	6183.Smp_070780.1
OG0000213	YDR338C, YHR032W	6183.Smp_162110.1, 6183.Smp_151290.1, 6183.Smp_135490.1
OG0000214	YCR069W, YNR028W, YDR304C, YHR057C	6183.Smp_040790.1
OG0000215	YPL244C	6183.Smp_171120.1, 6183.Smp_172390.1
OG0000215	YEL004W	6183.Smp_157230.1
OG0000216	YHR104W, YDR368W, YOR120W	6183.Smp_150700.1, 6183.Smp_053220.1
OG0000217	YBR244W, YIR037W, YKL026C	6183.Smp_058700.1, 6183.Smp_058690.1
OG0000218	YDR043C, YBR066C, YHL027W	6183.Smp_000530.1, 6183.Smp_157270.1
OG0000220	YBR180W, YNL065W, YIL121W, YIL120W	6183.Smp_156410.1
OG0000221	YGR159C	6183.Smp_064590.1, 6183.Smp_019690.1
OG0000221	YOR319W	6183.Smp_067420.1
OG0000224	YNR048W, YCR094W, YNL323W	6183.Smp_014020.1, 6183.Smp_210250.1
OG0000226	YDR224C, YBL002W	6183.Smp_077790.1, 6183.Smp_108390.1, 6183.Smp_036220.1
OG0000228	YMR183C, YPL232W	6183.Smp_066670.1, 6183.Smp_019890.1, 6183.Smp_179930.1
OG0000231	YAL030W, YOR327C	6183.Smp_006720.2, 6183.Smp_123870.1, 6183.Smp_102160.1
OG0000232	YEL060C, YOR003W, YCR045C	6183.Smp_154140.1, 6183.Smp_131220.1
OG0000234	YER072W, YJL012C, YFL004W, YPL019C	6183.Smp_141110.1
OG0000235	YOL059W, YDL022W	6183.Smp_030500.1, 6183.Smp_169570.1, 6183.Smp_168310.1
OG0000236	YNL308C	6183.Smp_139810.1, 6183.Smp_149990.1, 6183.Smp_133510.1, 6183.Smp_051990.1
OG0000237	YNL275W	6183.Smp_136030.1, 6183.Smp_180950.1, 6183.Smp_180960.1, 6183.Smp_127940.1
OG0000238	YDR244W, YMR018W	6183.Smp_128560.1, 6183.Smp_094980.1, 6183.Smp_094950.1
OG0000239	YGL115W	6183.Smp_212370.1, 6183.Smp_142030.1, 6183.Smp_127420.1, 6183.Smp_001030.1
